region,site,type,length,width
North,CV,Braided,1050,5.333333333
North,CV,Braided,385,4.666666667
North,CV,Braided,45,5.666666667
North,CV,Braided,35,5.333333333
North,CV,Braided,50,2.666666667
North,CV,Twisted,850,8
North,CV,Twisted,1350,15
North,CV,Twisted,250,3.333333333
North,CV,Twisted,2460,10
North,CV,Braided,190,14
North,CV,Braided,2050,4.666666667
North,CV,Braided,75,6.666666667
North,CV,Twisted,160,6
South,PW,Twisted,55,2.333333333
South,PW,Twisted,170,1
South,PW,Twisted,17,1.333333333
South,PW,Twisted,40,2.333333333
South,PW,Twisted,85,1.333333333
South,PW,Twisted,165,1
South,PW,Twisted,34,1.666666667
South,PW,Twisted,30,1
South,PW,Twisted,50,1
South,PW,Twisted,47,1
South,PW,Twisted,13,1
South,PW,Twisted,47,1
South,PW,Twisted,25,1
South,PW,Twisted,85,1
South,PW,Twisted,48,1
South,PW,Twisted,40,1
South,PW,Twisted,60,1.333333333
South,PW,Braided,170,4
South,PW,Braided,102,8
South,PW,Braided,67,4.333333333
South,PW,Braided,44,7.333333333
South,PW,Braided,36,2.666666667
South,PW,Braided,29,6.333333333
South,PW,Braided,26,4.333333333
South,PW,Braided,70,2
South,PW,Braided,56,4.666666667
South,PW,Braided,58,4.666666667
South,PW,Braided,56,3.333333333
South,PW,Braided,22,3
South,PW,Braided,60,5.666666667
South,PW,Braided,90,11.33333333
South,PW,Braided,10,5
South,PW,Braided,370,8.666666667
South,PW,Braided,130,3
South,PW,Braided,30,9
South,PW,Braided,50,5
North,SS,Twisted,1510,4
North,SS,Twisted,1200,6.666666667
North,SS,Twisted,75,6
North,SS,Twisted,35,4
North,SS,Twisted,68,4.333333333
North,SS,Twisted,400,25.33333333
North,SS,Twisted,135,38.33333333
North,SS,Twisted,143,4
North,SS,Twisted,135,8.666666667
North,SS,Braided,120,10
North,SS,Braided,117,6.666666667
North,SS,Braided,27,9
North,SS,Braided,81,5
North,SS,Braided,256,10.33333333
North,SS,Braided,102,8
North,SS,Braided,107,7.666666667
North,SS,Braided,55,6.666666667
North,SS,Braided,25,11.33333333
North,SS,Braided,80,11
North,SS,Braided,34,5.666666667
North,SS,Braided,100,6.666666667
North,SS,Braided,257,4.666666667
North,SS,Braided,49,5.333333333
North,SS,Braided,120,4.333333333
North,SS,Braided,48,3.666666667
North,SS,Braided,45,5
North,SS,Braided,116,4.666666667
North,SS,Braided,60,4.666666667
North,SS,Braided,70,4.666666667
North,SS,Braided,315,4
North,SS,Braided,118,5.333333333
North,SS,Braided,130,5.333333333
North,SS,Braided,125,6.666666667
North,SS,Braided,60,4.666666667
North,SS,Braided,96,6
North,SS,Braided,80,3.666666667
North,SS,Braided,168,4.666666667
North,SS,Braided,240,4.666666667
North,SS,Braided,56,5
North,SS,Braided,53,11.33333333
North,SS,Braided,66,5.333333333
North,WH,Twisted,2032,8.333333333
North,WH,Braided,75,3.666666667
South,BS,Twisted,1668,1.333333333
South,BS,Twisted,241,3.333333333
South,BS,Twisted,484,1.666666667
South,BS,Twisted,178,1
South,BS,Twisted,290,6
South,BS,Twisted,279,4.666666667
South,BS,Twisted,209,7
South,BS,Twisted,108,3.333333333
South,BS,Twisted,275,1.666666667
South,BS,Twisted,192,1
South,BS,Twisted,472,5
South,BS,Twisted,115,2.666666667
South,BS,Twisted,235,1.333333333
South,BS,Twisted,222,1.666666667
South,BS,Twisted,355,2.333333333
South,BS,Twisted,162,4.666666667
South,BS,Twisted,119,2.666666667
South,BS,Twisted,158,1.666666667
South,BS,Twisted,658,1
South,BS,Twisted,307,2
South,BS,Twisted,349,13.66666667
South,BS,Twisted,228,6.333333333
South,BS,Twisted,460,15
South,BS,Twisted,70,7.333333333
South,BS,Twisted,205,6.333333333
South,BS,Twisted,363,8.666666667
South,BS,Twisted,165,3
South,BS,Twisted,172,4.333333333
South,BS,Twisted,241,2.333333333
South,BS,Twisted,637,8.333333333
South,BS,Twisted,36,2.666666667
South,BS,Twisted,46,2
South,BS,Twisted,64,2.666666667
South,BS,Twisted,201,4.333333333
South,BS,Braided,210,4
South,BS,Braided,191,4.333333333
South,BS,Braided,598,5.666666667
South,BS,Braided,146,5.666666667
South,BS,Braided,84,3.333333333
South,BS,Braided,97,6
South,BS,Braided,138,9.666666667
South,BS,Braided,773,2.666666667
South,BS,Braided,690,8.666666667
South,BS,Braided,106,4.666666667
South,BS,Braided,179,5.333333333
South,BS,Braided,94,4
South,BS,Braided,141,9
South,BS,Braided,171,3.666666667
South,BS,Braided,63,4.666666667
South,BS,Braided,176,3
South,BS,Braided,215,3.333333333
South,BS,Braided,116,6.333333333
South,BS,Braided,155,4
South,BS,Braided,125,4.333333333
South,BS,Twisted,228,7
South,BS,Twisted,602,10.66666667
South,BS,Twisted,742,7
South,BS,Twisted,447,8.333333333
South,BS,Twisted,66,10
South,BS,Twisted,158,5
South,BS,Twisted,977,12.66666667
South,BS,Twisted,245,6.666666667
South,BS,Braided,415,13.33333333
South,BS,Braided,286,1
South,BS,Braided,287,4
South,BS,Braided,664,2
South,BS,Braided,434,1
South,BS,Braided,131,6.666666667
South,BS,Braided,56,7
South,BS,Braided,96,12.33333333
South,BS,Braided,140,2
South,BS,Braided,105,4.333333333
South,BS,Braided,81,8.666666667
South,BS,Braided,112,5
South,BS,Braided,41,5.333333333
South,BS,Braided,89,15
South,BS,Braided,25,6.333333333
South,BS,Braided,80,6.666666667
South,WS,Twisted,681,4
South,WS,Twisted,79,4.333333333
South,WS,Twisted,26,4
South,WS,Twisted,152,1
South,WS,Twisted,215,1.666666667
South,WS,Twisted,533,2
South,WS,Twisted,991,3.666666667
South,WS,Twisted,804,4
South,WS,Twisted,22,4.333333333
South,WS,Twisted,79,3
South,WS,Twisted,422,2
South,WS,Twisted,153,2
South,WS,Twisted,34,5
South,WS,Twisted,183,2
South,WS,Twisted,342,4
South,WS,Twisted,86,3
South,WS,Twisted,71,3
South,WS,Twisted,75,3
South,WS,Twisted,93,4
South,WS,Twisted,151,3
South,WS,Twisted,900,4.666666667
South,WS,Twisted,484,5.666666667
South,WS,Twisted,270,6
South,WS,Twisted,266,4
South,WS,Twisted,133,9.333333333
South,WS,Twisted,320,7.666666667
South,WS,Twisted,345,4.333333333
South,WS,Twisted,140,3
South,WS,Twisted,49,5
South,WS,Twisted,112,4.666666667
South,WS,Twisted,155,4.333333333
South,WS,Twisted,133,3.666666667
South,WS,Twisted,256,3
South,WS,Twisted,210,2.666666667
South,WS,Twisted,644,4.666666667
South,WS,Twisted,483,5
South,WS,Twisted,115,4.666666667
South,WS,Twisted,127,1
South,WS,Twisted,111,4.666666667
