sea,lat,long,litter
NNS,58.4085,-3.0472355,0.000426
NNS,59.848896,-1.330913,0.000426
NNS,60.980396,-0.63176446,0.000426
NNS,58.394024,-0.91975856,0.000426
NNS,56.552957,-1.6339436,0.000426
NNS,54.116415,0.29316258,0.000426
NNS,54.116415,-0.13756329,0.000426
NNS,55.52792,-4.2826834,0.000426
NNS,58.009246,-5.02126,0.000426
NNS,58.4085,-3.0472355,0.000426
SNS,54.116415,-0.13756329,0.000467
SNS,54.116415,0.29316258,0.000467
SNS,52.699533,2.3068087,0.000467
SNS,50.54018,1.9108262,0.000467
SNS,51.004706,0.9771318,0.000467
SNS,51.557915,-1.3677424,0.000467
SNS,55,-3,0.000467
SNS,54.116415,-0.13756329,0.000467
EEC,51.694706,0.9771318,0.000838
EEC,50.54018,1.9108262,0.000838
EEC,50.173073,0.5021602,0.000838
EEC,50.059917,-2.3356707,0.000838
EEC,51.30382,-2.6005262,0.000838
EEC,51.557915,-1.3097185,0.000838
EEC,51.004706,0.9771318,0.000838
WECCS,51.30382,-2.6005262,0.001498
WECCS,50.059917,-2.3356707,0.001498
WECCS,49.715084,-3.6301029,0.001498
WECCS,49.535374,-6.486826,0.001498
WECCS,50.15915,-6.5257244,0.001498
WECCS,51.657915,-4.9480405,0.001498
WECCS,52.06635,-3.5594065,0.001498
WECCS,51.414055,-0.9674062,0.001498
WECCS,51.30382,-2.6005262,0.001498
IS,51.657915,-4.9480405,0.000592
IS,51.21091,-5.405027,0.000592
IS,51.59884,-5.7106953,0.000592
IS,52.774906,-5.1229672,0.000592
IS,53.906265,-4.97323,0.000592
IS,55.20489,-5.9848766,0.000592
IS,55.302693,-5.7755346,0.000592
IS,55.580475,-5.567618,0.000592
IS,56.1,-5.567618,0.000592
IS,56.66903,-3.6166124,0.000592
IS,55.005424,-2.4710362,0.000592
IS,53.498615,-1.5627533,0.000592
IS,51.555683,-4.1867847,0.000592
IS,51.657915,-4.9480405,0.000592
MWS,55.580475,-5.567618,0.000041
MWS,55.302693,-5.7755346,0.000041
MWS,55.20489,-5.9848766,0.000041
MWS,55.612135,-6.7072244,0.000041
MWS,56.220395,-6.9567776,0.000041
MWS,56.673198,-7.720192,0.000041
MWS,57.726054,-7.2272835,0.000041
MWS,58.50116,-6.2204227,0.000041
MWS,58.635123,-5.001741,0.000041
MWS,58.435123,-3.001741,0.000041
MWS,56.1,-5.567618,0.000041
MWS,55.580475,-5.567618,0.000041
SCS,56.673198,-7.720192,0.00036
SCS,57.9902,-8.90419,0.00036
SCS,60.0092,-2.75842,0.00036
SCS,60.8736,-1.75126,0.00036
SCS,60.980396,-0.63176446,0.00036
SCS,59.848896,-1.330913,0.00036
SCS,58.4085,-3.0472355,0.00036
SCS,58.209246,-4,0.00036
SCS,58.635123,-5.001741,0.00036
SCS,58.50116,-6.2204227,0.00036
SCS,57.726054,-7.2272835,0.00036
SCS,57.10567,-7.3211,0.00036
SCS,56.673198,-7.720192,0.00036
